event,date,region,netplay,version,p1name,p1char1,p1char2,p1char3,p2name,p2char1,p2char2,p2char3,url
UFGTX,2014-05-23,North America,0,Fukua Patch,Winnie,FI,FU,DB,Elda Taluda,PW,MF,CE,https://youtu.be/i-s-0hkAMkQ?t=1s
EVO 2014,2014-07-12,North America,0,Fukua Patch,guitalex,FU,SQ,BB,Inuchiyo,FU,MF,DB,https://youtu.be/PWUuHSFcXfE
EVO 2014,2014-07-12,North America,0,Fukua Patch,ncv,PS,PW,DB,RG | SonicFox,FI,CE,N,https://youtu.be/ngqWdaZyfSA
EVO 2014,2014-07-12,North America,0,Fukua Patch,guitalex,FU,SQ,BB,Winnie,FI,FU,DB,https://youtu.be/aGbeyvf3g2Y
EVO 2014,2014-07-12,North America,0,Fukua Patch,IGL | Duckator,VA,FI,DB,keninblack,PS,FU,DB,https://youtu.be/mGKxJUki864
EVO 2014,2014-07-12,North America,0,Fukua Patch,guitalex,FU,SQ,BB,dekillsage,PS,CE,DB,https://youtu.be/9gNP2lsuoLM
EVO 2014,2014-07-12,North America,0,Fukua Patch,dekillsage,DB,CE,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/g5LEvJOwh2U
EVO 2014,2014-07-12,North America,0,Fukua Patch,LethalMind,PC,FI,PS,Inuchiyo,FU,MF,DB,https://youtu.be/t7wmwqtKsqE
EVO 2014,2014-07-12,North America,0,Fukua Patch,RG | SonicFox,FI,CE,N,IGL | Duckator,VA,FI,DB,https://youtu.be/auTKsyHDp6M
EVO 2014,2014-07-12,North America,0,Fukua Patch,guitalex,FU,SQ,BB,ncv,PS,PW,DB,https://youtu.be/l6m702iCC1Q
EVO 2014,2014-07-12,North America,0,Fukua Patch,dekillsage,PS,CE,DB,RG | SonicFox,FI,CE,N,https://youtu.be/FUuFRYH9OmQ?t=10m21s
EVO 2014,2014-07-12,North America,0,Fukua Patch,Elda Taluda,PW,MF,CE,Swiftfox-Dash,PC,CE,N,https://youtu.be/FUuFRYH9OmQ?t=18m22s
EVO 2014,2014-07-12,North America,0,Fukua Patch,dekillsage,PS,CE,DB,Elda Taluda,PW,MF,CE,https://youtu.be/FUuFRYH9OmQ?t=26m31s
EVO 2014,2014-07-12,North America,0,Fukua Patch,dekillsage,DB,CE,N,Swiftfox-Dash,PC,CE,N,https://youtu.be/FUuFRYH9OmQ?t=34m44s
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,Elda Taluda,PW,MF,CE,Ryden Onkars,SQ,CE,N,https://youtu.be/p8Oz60GoFGg?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,Duckator,FI,EL,N,McPeanuts,PC,BB,N,https://youtu.be/MjybDxP3cBE?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,CATKILLER,BB,N,N,FuLLBLeeD,MF,BB,N,https://youtu.be/cbxpmo-_Gio?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,NCV,PS,CE,N,Waasiq,CE,FU,N,https://youtu.be/F-7fGzW3Rm4?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,McPeanuts,PC,BB,N,FuLLBLeeD,MF,BB,N,https://youtu.be/4ftHTLzDkMA?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,Ryden Onkars,SQ,CE,N,Waasiq,CE,FU,N,https://youtu.be/R1l9a5Zmgsk?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,Ryden Onkars,SQ,CE,N,McPeanuts,PC,BB,N,https://youtu.be/7UHDKcN9PNI?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,Elda Taluda,PW,MF,CE,Duckator,FI,EL,N,https://youtu.be/GyTg2C9rZ8c?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,McPeanuts,PC,BB,N,Duckator,FI,EL,N,https://youtu.be/-KpjdqSxTqo?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Frosty Faustings VII,2015-01-23,North America,0,Eliza Patch,McPeanuts,PC,BB,N,Elda Taluda,PW,MF,CE,https://youtu.be/rxdzQlm2gKs?list=PLlJ7zgDywLTkg98PccyfCEZ9zjYLb9m1J
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,cR | SonicFox,FU,EL,N,Drewski,BB,CE,N,https://youtu.be/MlcCpLpV_N?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,McPeanuts,PC,BB,N,Negus Eyoel,PS,DB,N,https://youtu.be/jSg50p70kQo?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,McPeanuts,PC,BB,N,Matlock Holmes,FU,MF,VA,https://youtu.be/0PRpxpJMGWM?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,McPeanuts,PC,BB,N,FukuaTwerkTeam,FI,FU,CE,https://youtu.be/-U2-ihS57Hs?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,Matlock Holmes,FU,MF,VA,Crypt Kiddie,BB,CE,N,https://youtu.be/HCa2E6LuDJc?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,cR | SonicFox,FU,EL,N,Negus Eyoel,PS,DB,N,https://youtu.be/5si3BsCOwuY?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,Cloud,VA,FI,DB,Matlock Holmes,FU,MF,VA,https://youtu.be/3RQRtTzd0JY?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,Cloud,VA,FI,DB,Drewski,BB,CE,N,https://youtu.be/scIslmZfvac?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,McPeanuts,PC,BB,N,Drewski,BB,CE,N,https://youtu.be/nMuu9PY86Zs?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Winter Brawl 9,2015-02-20,North America,0,Eliza Patch,cR | SonicFox,FU,EL,N,McPeanuts,PC,BB,N,https://youtu.be/4eq9oySHvgs?list=PLkUHi_-sPL0KsYUNL3SZaOXVZ1FrD5XKB
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Waasiq,PC,CE,N,Shadowstew,SQ,CE,BB,https://youtu.be/MY9202HZjnc?t=1m24s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Elda Taluda,PW,MF,CE,Erkicman,FU,CE,N,https://youtu.be/MY9202HZjnc?t=9m52s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,WingZero,PS,FI,N,evilben,FI,CE,N,https://youtu.be/MY9202HZjnc?t=14m18s
